,similarity,num_datapoints,cluster_id
8378,0.6165580749511719,1063,8378
3724,0.5819156765937805,833,3724
2874,0.5587255358695984,757,2874
7599,0.5560619831085205,5129,7599
2185,0.5554108619689941,4985,2185
4788,0.551289439201355,1953,4788
7989,0.5368918180465698,452,7989
7519,0.5341991782188416,1146,7519
7185,0.5333797931671143,484,7185
4067,0.5329093337059021,132,4067
9877,0.5324172377586365,157,9877
3897,0.522983193397522,596,3897
3088,0.5201109647750854,635,3088
7484,0.5183427333831787,437,7484
7721,0.5173683762550354,854,7721
6211,0.5156692266464233,1472,6211
3072,0.5015206933021545,761,3072
2600,0.49680277705192566,263,2600
2964,0.4936687648296356,5037,2964
2434,0.48734748363494873,1243,2434
8635,0.4752955734729767,303,8635
4795,0.4729585349559784,1315,4795
5310,0.46719980239868164,642,5310
700,0.46240150928497314,1726,700
8610,0.4612904489040375,275,8610
7966,0.45934709906578064,5146,7966
1112,0.4548758566379547,2502,1112
7816,0.45418527722358704,520,7816
2118,0.45325803756713867,5361,2118
9110,0.4463103711605072,793,9110
5965,0.4420604109764099,498,5965
2404,0.440787672996521,1369,2404
6032,0.4238358438014984,1161,6032
