,similarity,num_datapoints,cluster_id
18,0.6504080295562744,1524,18
2,0.628944993019104,1580,2
31,0.6273690462112427,1152,31
4,0.6116414070129395,1427,4
16,0.6093740463256836,1227,16
12,0.606439471244812,1402,12
3,0.5721789002418518,1102,3
17,0.5706145763397217,1780,17
23,0.570345938205719,1181,23
9,0.5583815574645996,1198,9
32,0.5565207600593567,1339,32
19,0.5426807403564453,1554,19
14,0.5376327037811279,1533,14
24,0.5306905508041382,1710,24
10,0.5179791450500488,1700,10
22,0.5141157507896423,1447,22
6,0.5131744742393494,1470,6
33,0.5063602328300476,1664,33
29,0.49119648337364197,1207,29
21,0.4891555905342102,1457,21
15,0.4881592094898224,1461,15
5,0.4876839220523834,1948,5
20,0.48383432626724243,1032,20
28,0.48370230197906494,1955,28
26,0.47587454319000244,1403,26
30,0.46900811791419983,1706,30
7,0.4591311812400818,1564,7
11,0.4583616852760315,1533,11
8,0.4533326327800751,1217,8
1,0.44658058881759644,1082,1
0,0.4266667366027832,1946,0
13,0.4208430349826813,1505,13
25,0.4188064634799957,1497,25
27,0.3838644325733185,1497,27
