,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_10000/beta-0.6/,93.976,44.75559141822091,39.193154848130014,4.231046895768052,5911.0,0.6,0.9796701073646545
clusters_5000/beta-0.6/,93.614,44.126860849559364,40.231317803678756,2.0291490031092616,3747.0,0.6,0.9166619777679443
clusters_1000/beta-0.6/,95.06599999999999,49.43982062444558,48.42946343754056,3.63155879744214,918.0,0.6,0.7902935743331909
clusters_800/beta-0.6/,95.056,50.13726334783256,49.324345042586856,4.0103688008181715,741.0,0.6,0.7393753528594971
clusters_800/beta-1/,95.06,75.31881279242445,75.28299801702019,65.22062473331,45.0,1.0,0.6819190979003906
clusters_1000/beta-1/,93.726,75.1382950098478,75.11090451384919,59.422637239320075,34.0,1.0,0.5839232802391052
clusters_600/beta-0.6/,94.88799999999999,51.07519461002963,50.45915573295889,4.52645806670785,558.0,0.6,0.5721094012260437
clusters_100/beta-1/,94.75,75.3303996812406,75.3043362604483,56.1261713584291,33.0,1.0,0.49951687455177307
clusters_500/beta-1/,95.006,75.79908783672431,75.77257808046704,60.35764612864888,34.0,1.0,0.4971526265144348
clusters_500/beta-0.6/,94.796,51.48140057120314,50.93942739585549,4.784581715908066,490.0,0.6,0.49302345514297485
clusters_10000/beta-1/,94.808,77.11495568076684,77.09019682688469,69.36564046684137,33.0,1.0,0.4787885546684265
clusters_400/beta-1/,95.128,75.06637507050908,75.03617373064661,61.847693349816524,38.0,1.0,0.4563654065132141
clusters_600/beta-1/,95.08,77.39476818537374,77.37264000415504,65.84487578046063,30.0,1.0,0.4197167456150055
clusters_5000/beta-1/,95.15599999999999,76.75769219214612,76.73360628914256,65.97806263015755,32.0,1.0,0.3860480487346649
clusters_400/beta-0.6/,94.922,52.42350816343322,51.994073332527165,5.437365572557105,391.0,0.6,0.38462206721305847
clusters_200/beta-1/,93.528,75.33202251912525,75.30892850343378,57.00719448545228,29.0,1.0,0.3671707212924957
clusters_350/beta-0.6/,94.89999999999999,53.14314874224538,52.76619402781222,6.162604101408052,343.0,0.6,0.33850905299186707
clusters_300/beta-0.6/,94.946,53.69786697567784,53.378637161940425,6.538658485354326,295.0,0.6,0.2439623326063156
clusters_250/beta-0.6/,94.782,54.635329626276366,54.365128808802766,7.547181259003439,249.0,0.6,0.21927179396152496
clusters_200/beta-0.6/,94.73,55.83314291475303,55.62027727918032,8.83525402443975,199.0,0.6,0.12230240553617477
clusters_150/beta-0.6/,94.708,57.82344471450933,57.66732888638951,11.33054149603864,148.0,0.6,0.09238259494304657
clusters_125/beta-0.6/,94.862,59.037007406978404,58.906901031920256,12.928629218210405,125.0,0.6,0.05083201825618744
clusters_100/beta-0.6/,94.458,60.69737282433739,60.594700352787235,15.604436211757458,100.0,0.6,0.04598402604460716
clusters_34/beta-0.6/,92.17,69.47994932481353,69.44870201604681,37.65362924284626,34.0,0.6,0.013709248043596745
clusters_10/beta-1/,87.64999999999999,82.62865788764503,82.6225315884043,78.39492396145768,10.0,1.0,0.00810448732227087
clusters_10/beta-0.6/,94.594,88.5868967616642,88.58287801680936,88.56844365391648,10.0,0.6,0.0009540077298879623
