,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_10/beta-0.6/,65.36,71.33289311325993,71.32279847260055,55.67612709810766,10.0,0.6,0.0011372666340321302
clusters_25/beta-0.6/,84.542,69.73944510405481,69.71570098847295,42.17035405904117,25.0,0.6,0.006324312184005976
clusters_50/beta-0.6/,89.358,66.1708723202553,66.12260842444171,26.4016812731804,50.0,0.6,0.012045222334563732
clusters_100/beta-0.6/,96.282,63.93153123738935,63.83768599257416,16.039709672751997,100.0,0.6,0.014864644035696983
clusters_150/beta-0.6/,97.558,61.17899976127607,61.03479167429916,11.36403234295638,150.0,0.6,0.023835839703679085
clusters_200/beta-0.6/,98.394,59.473217678079536,59.27890188591528,8.861853938233333,200.0,0.6,0.034621354192495346
clusters_300/beta-0.6/,98.88,56.95771462977568,56.65882960199519,6.313654732716152,300.0,0.6,0.09584543108940125
clusters_400/beta-0.6/,99.116,55.532591824750035,55.13258573515252,5.159405977039974,398.0,0.6,0.23153938353061676
clusters_500/beta-0.6/,99.134,54.34806651964861,53.84152545922972,4.4343088484743545,495.0,0.6,0.2674153447151184
clusters_500/beta-1/,99.196,75.98806012734973,75.9521846171078,43.62298747637368,50.0,1.0,0.36173543334007263
clusters_600/beta-0.6/,99.088,53.61212348556794,53.01002505105251,4.024567366721568,591.0,0.6,0.4168756902217865
