,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_10/beta-0.6/,97.19,93.24645064924265,93.24407289632984,93.905631661839,10.0,0.6,0.00039700791239738464
clusters_25/beta-0.6/,92.486,74.72957939561039,74.70972555348813,48.582673454492195,25.0,0.6,0.013264797627925873
clusters_100/beta-0.6/,96.822,62.83549209776824,62.73875427886313,16.0941111612291,100.0,0.6,0.017183667048811913
clusters_50/beta-0.6/,95.422,68.73339143795451,68.68872790863469,29.303660918609825,50.0,0.6,0.019259264692664146
clusters_150/beta-0.6/,96.818,59.58976756207891,59.4394717903907,11.24478582897178,150.0,0.6,0.0326245054602623
clusters_200/beta-0.6/,96.776,57.59390983340573,57.38909486544029,8.869725945996647,200.0,0.6,0.09140525758266449
clusters_300/beta-0.6/,96.52,55.081490738378825,54.76616666478434,6.47813867129997,299.0,0.6,0.20524533092975616
clusters_400/beta-0.6/,96.282,53.57908057823118,53.15132594561069,5.330617144837786,399.0,0.6,0.3315780460834503
clusters_500/beta-1/,96.836,75.79555608024503,75.76156814123047,57.23177946064757,45.0,1.0,0.4912579655647278
clusters_600/beta-0.6/,96.744,52.351208955566065,51.73334324890837,4.576336058152817,576.0,0.6,0.6004653573036194
clusters_500/beta-0.6/,96.612,53.20934784649648,52.68522989439851,5.133706234428215,493.0,0.6,0.6193534135818481
