,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_10/beta-0.6/,94.232,87.58090388182954,87.57653087869909,87.79466021205108,10.0,0.6,0.0009975763969123363
clusters_25/beta-0.6/,90.282,71.07509829317432,71.05238294867138,46.36971111934795,25.0,0.6,0.010742759332060814
clusters_50/beta-0.6/,92.782,65.22720698474022,65.17758730439736,27.360576435077018,50.0,0.6,0.013398620299994946
clusters_100/beta-0.6/,92.656,59.36586796863283,59.259757123959034,15.299805321599145,100.0,0.6,0.04345281049609184
clusters_150/beta-0.6/,93.068,56.561982576045914,56.3987059089476,11.058444898525858,150.0,0.6,0.122512087225914
clusters_200/beta-0.6/,93.446,55.18713199963279,54.96640755356671,9.308746864745562,200.0,0.6,0.25552815198898315
clusters_300/beta-0.6/,92.9,52.86103290891101,52.524936022353415,6.994546180532088,300.0,0.6,0.45386409759521484
clusters_400/beta-0.6/,93.142,51.95529558782626,51.51584449168184,6.235103141987793,391.0,0.6,0.592404305934906
clusters_600/beta-0.6/,93.364,50.01937568125495,49.35484378592439,4.75085078619351,580.0,0.6,0.6568371057510376
clusters_500/beta-0.6/,93.552,51.110528422746484,50.55331929798233,5.447929051418772,491.0,0.6,0.6679326295852661
clusters_500/beta-1/,94.222,73.83459788158234,73.80195286395995,57.65617116473683,39.0,1.0,0.7337959408760071
