,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_10/beta-0.6/,98.548,96.3158905168089,96.3145934780828,96.81216104562505,10.0,0.6,0.00023986538872122765
clusters_25/beta-0.6/,93.026,76.40452973550573,76.38598806249419,50.01789321455136,25.0,0.6,0.014368712902069092
clusters_50/beta-0.6/,97.00800000000001,70.68822890356473,70.64638523412152,30.160037437839044,50.0,0.6,0.015340528450906277
clusters_100/beta-0.6/,98.358,64.81022259544554,64.71847931595956,16.823433458531373,100.0,0.6,0.02860168367624283
clusters_150/beta-0.6/,98.298,61.25184783725902,61.107569970327106,11.616516497458203,150.0,0.6,0.040885377675294876
clusters_200/beta-0.6/,98.038,59.09235844507504,58.895610888496805,9.133164347355772,200.0,0.6,0.11497967690229416
clusters_300/beta-0.6/,98.33,56.73416396377677,56.43071250650746,6.7520728302771875,300.0,0.6,0.2438322752714157
clusters_400/beta-0.6/,98.32,55.25888959410269,54.848474925427674,5.556778055038223,399.0,0.6,0.3320004642009735
clusters_500/beta-0.6/,98.176,54.32864558834717,53.82631707898008,4.996073822845145,484.0,0.6,0.43103232979774475
clusters_500/beta-1/,98.434,78.26324490381754,78.23147951340495,61.041839105549066,47.0,1.0,0.4608493149280548
clusters_600/beta-0.6/,98.30600000000001,53.576562167383514,52.97160069925163,4.538167142944513,585.0,0.6,0.5731188058853149
