,ACC,NMI,anmi,ARI,uniq,beta,KL
clusters_25/beta-0.6/,23.196,63.77053510664311,63.54672923215319,26.18312013846072,25.0,0.6,0.01095048151910305
clusters_50/beta-0.6/,42.332,69.56558477385843,69.20737234635472,38.80879995930467,50.0,0.6,0.010993028990924358
clusters_100/beta-0.6/,67.80199999999999,75.26315628383777,74.69662363564301,54.18276742879565,100.0,0.6,0.01653052121400833
clusters_200/beta-0.6/,73.18599999999999,73.52653831250714,72.30879649723461,42.31200903412835,199.0,0.6,0.07931340485811234
clusters_300/beta-0.6/,74.518,72.15662288729621,70.27141214623194,35.03495152160724,298.0,0.6,0.1905280500650406
clusters_400/beta-0.6/,74.90400000000001,71.18417704193234,68.725918840358,30.9365204843003,394.0,0.6,0.3110142946243286
clusters_800/beta-1/,34.028000000000006,69.26040340491953,68.89897765541058,30.79863561606525,47.0,1.0,0.4031132757663727
clusters_100/beta-1/,36.57,69.09846220818687,68.75009209943433,32.62287475875377,48.0,1.0,0.4076157212257385
clusters_500/beta-0.6/,75.344,70.53804204353669,67.58106611559732,28.32475106919009,489.0,0.6,0.4339829087257385
clusters_400/beta-1/,33.804,68.37195025405111,67.99819261958251,30.31376590436911,48.0,1.0,0.4504147469997406
clusters_600/beta-0.6/,75.434,70.09533676537114,66.76690097928805,26.772195962696816,580.0,0.6,0.5562482476234436
clusters_800/beta-0.6/,75.486,69.2951279323767,65.19146403807132,24.281730040489997,751.0,0.6,0.633454442024231
clusters_1000/beta-0.6/,75.676,68.80931961108406,64.21535250162967,23.025729733398805,909.0,0.6,0.7700519561767578
