,similarity,num_datapoints,cluster_id
414,0.7196340560913086,668,414
422,0.7136145234107971,346,422
770,0.7093232274055481,578,770
573,0.6888622641563416,762,573
255,0.6710943579673767,526,255
884,0.670383095741272,943,884
49,0.6696786284446716,861,49
90,0.655669093132019,825,90
163,0.6418495774269104,1850,163
526,0.6327322125434875,3015,526
287,0.6323931813240051,109,287
38,0.6311343908309937,949,38
925,0.6283707618713379,329,925
895,0.6247550249099731,171,895
427,0.6125749945640564,820,427
291,0.6118603944778442,738,291
952,0.6053198575973511,1200,952
506,0.6039307117462158,1116,506
973,0.6026036143302917,1722,973
498,0.6013765335083008,1301,498
846,0.5971729159355164,1205,846
717,0.5971011519432068,982,717
173,0.5955977439880371,733,173
638,0.5948745608329773,1704,638
470,0.5903968214988708,1820,470
193,0.5899437069892883,294,193
362,0.5872377157211304,456,362
389,0.5852212905883789,1120,389
298,0.582258939743042,2118,298
667,0.5799221992492676,230,667
178,0.5791171789169312,1922,178
693,0.5764181613922119,2946,693
410,0.5750658512115479,2163,410
528,0.574087917804718,2039,528
947,0.573563277721405,4748,947
250,0.570810854434967,440,250
854,0.5624775886535645,4121,854
917,0.5575790405273438,3331,917
1,0.5488391518592834,2768,1
608,0.5482454895973206,230,608
824,0.5427162051200867,1077,824
848,0.5404990315437317,1346,848
484,0.5355567336082458,2929,484
465,0.5242847204208374,275,465
70,0.5041127800941467,1024,70
143,0.49448418617248535,1071,143
217,0.49305787682533264,1627,217
168,0.48900315165519714,2851,168
451,0.47511184215545654,3601,451
