,similarity,num_datapoints,cluster_id
68,0.7351961135864258,586,68
26,0.7015470266342163,715,26
107,0.6999334692955017,706,107
45,0.6994335651397705,683,45
21,0.6933697462081909,615,21
1,0.6895641684532166,511,1
16,0.689062237739563,323,16
71,0.6889216899871826,463,71
9,0.6854078769683838,573,9
64,0.683617889881134,468,64
17,0.6831822991371155,276,17
12,0.682659387588501,384,12
81,0.6818253993988037,564,81
80,0.6813527345657349,523,80
86,0.6792141199111938,415,86
76,0.6776324510574341,567,76
82,0.6775662302970886,260,82
91,0.6757540702819824,386,91
70,0.6747408509254456,457,70
5,0.6742327809333801,446,5
113,0.6734309196472168,601,113
34,0.6728376150131226,477,34
97,0.6706557869911194,623,97
110,0.6672047972679138,388,110
49,0.6631047129631042,620,49
56,0.6626957654953003,427,56
61,0.6597431898117065,630,61
11,0.6590591669082642,461,11
116,0.6536529660224915,451,116
119,0.6529445052146912,503,119
98,0.6499745845794678,280,98
78,0.6465142369270325,653,78
117,0.6446824073791504,388,117
6,0.6443794965744019,366,6
42,0.6414540410041809,383,42
19,0.6408995389938354,415,19
10,0.639268696308136,652,10
102,0.6371702551841736,522,102
94,0.6370565891265869,547,94
101,0.6363031268119812,302,101
114,0.6350084543228149,454,114
66,0.6341728568077087,226,66
67,0.6318340301513672,621,67
32,0.6316694617271423,386,32
14,0.6314268112182617,473,14
90,0.6314213275909424,541,90
79,0.6313868165016174,319,79
106,0.6312023997306824,723,106
69,0.631144106388092,382,69
83,0.6306595206260681,498,83
25,0.62958824634552,431,25
96,0.6285521984100342,523,96
4,0.628258466720581,469,4
7,0.6282202005386353,766,7
40,0.6276816725730896,650,40
2,0.6266610026359558,587,2
50,0.626128077507019,245,50
55,0.6261001825332642,404,55
39,0.624447226524353,386,39
44,0.6235178112983704,613,44
111,0.6231898665428162,356,111
108,0.6230862736701965,549,108
18,0.6229128241539001,685,18
15,0.6210886836051941,611,15
103,0.6193410754203796,846,103
99,0.6187944412231445,647,99
84,0.6172289848327637,388,84
47,0.6152482628822327,670,47
33,0.6127369403839111,441,33
46,0.6116586923599243,708,46
53,0.6089772582054138,660,53
20,0.6089177131652832,548,20
115,0.608916699886322,722,115
77,0.6087275147438049,721,77
28,0.6084998846054077,762,28
38,0.6070026755332947,922,38
85,0.6048303842544556,814,85
8,0.6024025082588196,785,8
93,0.5997265577316284,424,93
89,0.5978519320487976,117,89
0,0.5962598919868469,362,0
52,0.5960581302642822,870,52
87,0.5956922769546509,736,87
118,0.5932618975639343,714,118
72,0.5925904512405396,837,72
35,0.5901780128479004,686,35
73,0.5885570645332336,669,73
62,0.5869965553283691,453,62
24,0.5831111073493958,751,24
95,0.5823183655738831,596,95
13,0.5813679695129395,647,13
43,0.5785492062568665,631,43
41,0.5773397088050842,777,41
22,0.575822651386261,590,22
3,0.5747368931770325,650,3
92,0.5737068057060242,729,92
54,0.5681622624397278,600,54
112,0.5658159255981445,709,112
104,0.5598433613777161,831,104
60,0.5597923398017883,573,60
31,0.5593723058700562,609,31
29,0.5554913878440857,948,29
30,0.5546255707740784,754,30
63,0.5514763593673706,597,63
37,0.5456099510192871,938,37
65,0.5449162125587463,875,65
48,0.5413426160812378,507,48
51,0.5392727851867676,766,51
88,0.5371183753013611,819,88
105,0.532101571559906,693,105
23,0.5247369408607483,648,23
59,0.5178262591362,917,59
57,0.5164514183998108,734,57
58,0.5072117447853088,535,58
27,0.5010129809379578,687,27
36,0.49305909872055054,866,36
109,0.4804018437862396,991,109
75,0.47599440813064575,570,75
74,0.4572158753871918,725,74
100,0.4425867795944214,727,100
